x_voltage,y_voltage,z_voltage,x_gvalue,y_gvalue,z_gvalue,time
NA,NA,NA,-0.102316,-0.015473,0.995984,1521533346.065176
NA,NA,NA,-0.099852,-0.016219,1.006488,1521533346.070192
NA,NA,NA,-0.099254,-0.015500,1.005730,1521533346.075195
NA,NA,NA,-0.097582,-0.013348,1.006277,1521533346.080199
NA,NA,NA,-0.099375,-0.011168,1.000102,1521533346.085199
NA,NA,NA,-0.100418,-0.016793,1.000535,1521533346.090203
NA,NA,NA,-0.097684,-0.017074,0.998984,1521533346.095205
NA,NA,NA,-0.096164,-0.015480,1.006113,1521533346.100206
NA,NA,NA,-0.092336,-0.017816,1.011625,1521533346.105214
NA,NA,NA,-0.095121,-0.013793,1.002828,1521533346.110220
NA,NA,NA,-0.094813,-0.015031,1.007684,1521533346.115221
NA,NA,NA,-0.093203,-0.018086,1.003652,1521533346.120224
NA,NA,NA,-0.096262,-0.013574,1.002574,1521533346.125232
NA,NA,NA,-0.089277,-0.020250,1.007797,1521533346.130244
NA,NA,NA,-0.094855,-0.017688,1.001188,1521533346.135248
NA,NA,NA,-0.092676,-0.012699,1.002273,1521533346.140252
NA,NA,NA,-0.085574,-0.019969,1.008066,1521533346.145254
NA,NA,NA,-0.089672,-0.012398,1.000820,1521533346.150256
NA,NA,NA,-0.089004,-0.013125,1.006066,1521533346.155261
NA,NA,NA,-0.085141,-0.015230,1.005437,1521533346.160267
NA,NA,NA,-0.088309,-0.012781,1.000711,1521533346.165282
NA,NA,NA,-0.084180,-0.019781,1.004734,1521533346.170292
NA,NA,NA,-0.087211,-0.013492,1.002563,1521533346.175304
NA,NA,NA,-0.079555,-0.017336,1.012555,1521533346.180315
NA,NA,NA,-0.082348,-0.015316,1.001734,1521533346.185323
NA,NA,NA,-0.082371,-0.011270,1.005453,1521533346.190336
NA,NA,NA,-0.080832,-0.018402,1.001586,1521533346.195340
NA,NA,NA,-0.073633,-0.014922,1.009930,1521533346.200347
NA,NA,NA,-0.079223,-0.017504,1.007469,1521533346.205356
NA,NA,NA,-0.079656,-0.012156,1.003090,1521533346.210367
NA,NA,NA,-0.072930,-0.015320,1.012414,1521533346.215382
NA,NA,NA,-0.079758,-0.013070,0.996414,1521533346.220389
NA,NA,NA,-0.073871,-0.014492,1.008070,1521533346.225400
NA,NA,NA,-0.070676,-0.019543,1.003148,1521533346.230412
NA,NA,NA,-0.074086,-0.010957,1.006633,1521533346.235421
NA,NA,NA,-0.066453,-0.014289,1.009406,1521533346.240431
NA,NA,NA,-0.067727,-0.013727,1.003238,1521533346.245437
NA,NA,NA,-0.067812,-0.015004,1.001508,1521533346.250446
NA,NA,NA,-0.065652,-0.019570,1.004371,1521533346.255453
NA,NA,NA,-0.064906,-0.015852,1.006016,1521533346.260469
NA,NA,NA,-0.057516,-0.019473,1.014684,1521533346.265474
NA,NA,NA,-0.070180,-0.007887,1.000234,1521533346.270485
NA,NA,NA,-0.062266,-0.012191,1.003090,1521533346.275496
NA,NA,NA,-0.059809,-0.018641,1.003828,1521533346.280508
NA,NA,NA,-0.059672,-0.014508,1.003437,1521533346.285525
NA,NA,NA,-0.057938,-0.012840,1.007219,1521533346.290542
NA,NA,NA,-0.055555,-0.013160,1.007145,1521533346.295555
NA,NA,NA,-0.058070,-0.010355,1.001711,1521533346.300561
NA,NA,NA,-0.055367,-0.014270,1.006055,1521533346.305564
NA,NA,NA,-0.049395,-0.020520,1.008176,1521533346.310576
NA,NA,NA,-0.052477,-0.013684,1.009055,1521533346.315579
NA,NA,NA,-0.054367,-0.010234,1.006242,1521533346.320580
NA,NA,NA,-0.049504,-0.012820,1.001441,1521533346.325596
NA,NA,NA,-0.049316,-0.014348,1.007453,1521533346.330601
NA,NA,NA,-0.047098,-0.016246,1.005492,1521533346.335613
NA,NA,NA,-0.042805,-0.012176,1.009148,1521533346.340624
NA,NA,NA,-0.044379,-0.014387,1.010004,1521533346.345631
NA,NA,NA,-0.046238,-0.011762,1.001043,1521533346.350642
NA,NA,NA,-0.041992,-0.012020,1.010113,1521533346.355647
NA,NA,NA,-0.041348,-0.017125,1.007582,1521533346.360663
NA,NA,NA,-0.041352,-0.013828,1.004379,1521533346.365666
NA,NA,NA,-0.039629,-0.014059,1.007367,1521533346.370670
NA,NA,NA,-0.039137,-0.011855,1.003254,1521533346.375683
NA,NA,NA,-0.032160,-0.017121,1.008391,1521533346.380686
NA,NA,NA,-0.034426,-0.016211,1.008676,1521533346.385693
NA,NA,NA,-0.037312,-0.008078,1.009313,1521533346.390707
NA,NA,NA,-0.033672,-0.007086,0.999422,1521533346.395708
NA,NA,NA,-0.030422,-0.015406,1.005437,1521533346.400718
NA,NA,NA,-0.031250,-0.016023,1.004609,1521533346.406011
NA,NA,NA,-0.027504,-0.014285,1.012680,1521533346.411112
NA,NA,NA,-0.026297,-0.013492,1.008246,1521533346.416142
NA,NA,NA,-0.026812,-0.010473,1.007937,1521533346.421145
NA,NA,NA,-0.025953,-0.013785,1.003676,1521533346.426159
NA,NA,NA,-0.024641,-0.012398,1.005984,1521533346.431164
NA,NA,NA,-0.022051,-0.015473,1.008086,1521533346.436168
NA,NA,NA,-0.021375,-0.013594,1.009371,1521533346.441483
NA,NA,NA,-0.022457,-0.010934,1.006949,1521533346.446500
NA,NA,NA,-0.021328,-0.012281,1.002043,1521533346.451504
NA,NA,NA,-0.018320,-0.013336,1.008859,1521533346.456513
NA,NA,NA,-0.017332,-0.016848,1.007496,1521533346.461528
NA,NA,NA,-0.017996,-0.012832,1.008953,1521533346.466541
NA,NA,NA,-0.015199,-0.012723,1.009914,1521533346.471558
NA,NA,NA,-0.013297,-0.013887,1.008230,1521533346.476570
NA,NA,NA,-0.012684,-0.012160,1.012328,1521533346.481574
NA,NA,NA,-0.014922,-0.013582,1.006777,1521533346.486578
NA,NA,NA,-0.014902,-0.012832,1.005566,1521533346.491580
NA,NA,NA,-0.011441,-0.015273,1.008672,1521533346.496584
NA,NA,NA,-0.013309,-0.011273,1.005277,1521533346.501591
NA,NA,NA,-0.009590,-0.010902,1.012961,1521533346.506595
NA,NA,NA,-0.008512,-0.012398,1.004281,1521533346.511605
NA,NA,NA,-0.007738,-0.016063,1.010703,1521533346.516615
NA,NA,NA,-0.009711,-0.010844,1.001941,1521533346.521625
NA,NA,NA,-0.001910,-0.014262,1.014355,1521533346.526633
NA,NA,NA,-0.009418,-0.011402,1.001086,1521533346.531638
NA,NA,NA,-0.004832,-0.012367,1.008211,1521533346.536638
NA,NA,NA,-0.008559,-0.012945,1.004695,1521533346.541655
NA,NA,NA,-0.004746,-0.014125,1.009922,1521533346.546670
NA,NA,NA,-0.004145,-0.014203,1.008742,1521533346.551671
NA,NA,NA,-0.005348,-0.008711,1.008906,1521533346.556682
NA,NA,NA,0.000605,-0.014410,1.012344,1521533346.561692
NA,NA,NA,-0.003770,-0.014004,1.005344,1521533346.566693
NA,NA,NA,-0.004395,-0.012383,1.007145,1521533346.571703
NA,NA,NA,-0.000371,-0.014121,1.007918,1521533346.576719
NA,NA,NA,-0.000383,-0.012730,1.011789,1521533346.581731
NA,NA,NA,-0.004461,-0.010395,1.005586,1521533346.586742
NA,NA,NA,-0.002918,-0.009359,1.006250,1521533346.591755
NA,NA,NA,0.001586,-0.016648,1.006406,1521533346.596770
NA,NA,NA,0.000961,-0.014871,1.014672,1521533346.601773
NA,NA,NA,-0.004309,-0.008723,1.004309,1521533346.606774
NA,NA,NA,0.000801,-0.013016,1.010141,1521533346.611787
NA,NA,NA,0.002285,-0.018078,1.008762,1521533346.616791
NA,NA,NA,-0.001000,-0.012645,1.007879,1521533346.621805
NA,NA,NA,-0.000496,-0.009547,1.010887,1521533346.626809
NA,NA,NA,0.001109,-0.011434,1.007918,1521533346.631821
NA,NA,NA,-0.001512,-0.009598,1.003461,1521533346.636826
NA,NA,NA,-0.002074,-0.013445,1.006305,1521533346.641877
NA,NA,NA,0.000461,-0.016387,1.011695,1521533346.646878
NA,NA,NA,0.003008,-0.013941,1.015098,1521533346.651883
NA,NA,NA,-0.000355,-0.011434,1.009621,1521533346.656892
NA,NA,NA,-0.000613,-0.008965,1.005105,1521533346.661895
NA,NA,NA,0.000668,-0.011105,1.010941,1521533346.666907
NA,NA,NA,-0.003988,-0.014301,1.007371,1521533346.671913
NA,NA,NA,-0.002047,-0.009895,1.008816,1521533346.676928
NA,NA,NA,0.000230,-0.008613,1.009656,1521533346.681939
NA,NA,NA,-0.002590,-0.010816,1.006305,1521533346.686950
NA,NA,NA,-0.001551,-0.013168,1.012410,1521533346.691951
NA,NA,NA,-0.005438,-0.014375,1.001516,1521533346.696960
NA,NA,NA,-0.005613,-0.008633,1.012523,1521533346.701975
NA,NA,NA,0.001410,-0.019160,1.014520,1521533346.706990
NA,NA,NA,-0.004836,-0.007414,1.010996,1521533346.712332
NA,NA,NA,-0.005016,-0.015270,1.004426,1521533346.717333
NA,NA,NA,-0.008184,-0.012641,1.001602,1521533346.722335
NA,NA,NA,-0.003789,-0.016004,1.012512,1521533346.727345
NA,NA,NA,-0.009078,-0.011437,1.008859,1521533346.732349
NA,NA,NA,-0.006082,-0.010941,1.010254,1521533346.737357
NA,NA,NA,-0.005355,-0.016441,1.008926,1521533346.742365
NA,NA,NA,-0.011215,-0.010266,1.001984,1521533346.747379
NA,NA,NA,-0.010207,-0.012398,1.011586,1521533346.752380
NA,NA,NA,-0.011793,-0.012688,1.003062,1521533346.757383
NA,NA,NA,-0.009352,-0.010434,1.016355,1521533346.762386
NA,NA,NA,-0.013570,-0.013918,1.003664,1521533346.767391
NA,NA,NA,-0.009875,-0.013594,1.013813,1521533346.772400
NA,NA,NA,-0.013305,-0.014762,1.005207,1521533346.777410
NA,NA,NA,-0.014828,-0.011902,1.008582,1521533346.782787
NA,NA,NA,-0.010875,-0.017199,1.008906,1521533346.787795
NA,NA,NA,-0.012703,-0.016492,1.008012,1521533346.792818
NA,NA,NA,-0.020055,-0.011477,1.008434,1521533346.797820
NA,NA,NA,-0.014125,-0.020020,1.010129,1521533346.802826
NA,NA,NA,-0.020027,-0.010688,1.009547,1521533346.807837
NA,NA,NA,-0.018457,-0.013160,1.011574,1521533346.812842
NA,NA,NA,-0.024672,-0.011051,1.001980,1521533346.817844
NA,NA,NA,-0.023285,-0.011555,1.001609,1521533346.822854
NA,NA,NA,-0.017672,-0.016398,1.011062,1521533346.827866
NA,NA,NA,-0.020238,-0.013777,1.011727,1521533346.832880
NA,NA,NA,-0.026426,-0.011457,1.006266,1521533346.837897
NA,NA,NA,-0.022656,-0.014379,1.007746,1521533346.842906
NA,NA,NA,-0.029734,-0.013164,1.001379,1521533346.847922
NA,NA,NA,-0.028203,-0.011754,1.005234,1521533346.852929
NA,NA,NA,-0.024602,-0.018504,1.015777,1521533346.857942
NA,NA,NA,-0.032500,-0.013676,1.006656,1521533346.862953
NA,NA,NA,-0.034516,-0.011457,1.002398,1521533346.867955
NA,NA,NA,-0.030855,-0.016238,1.006230,1521533346.872959
NA,NA,NA,-0.031531,-0.015340,1.009027,1521533346.877967
NA,NA,NA,-0.033668,-0.014762,1.010332,1521533346.882969
NA,NA,NA,-0.036742,-0.011738,1.005980,1521533346.887969
NA,NA,NA,-0.035875,-0.013109,1.008254,1521533346.892976
NA,NA,NA,-0.037988,-0.015242,1.005465,1521533346.897992
NA,NA,NA,-0.044293,-0.012563,1.002816,1521533346.903001
NA,NA,NA,-0.039195,-0.017918,1.007727,1521533346.908003
NA,NA,NA,-0.037980,-0.015895,1.008469,1521533346.913063
NA,NA,NA,-0.042816,-0.013648,1.010891,1521533346.918069
NA,NA,NA,-0.047035,-0.008590,0.996672,1521533346.923074
NA,NA,NA,-0.042738,-0.016262,1.008129,1521533346.928087
NA,NA,NA,-0.048801,-0.020301,1.005562,1521533346.933087
NA,NA,NA,-0.050387,-0.011949,1.004918,1521533346.938135
NA,NA,NA,-0.048633,-0.012594,1.009445,1521533346.943143
NA,NA,NA,-0.051254,-0.011926,1.008051,1521533346.948154
NA,NA,NA,-0.057813,-0.007555,1.003191,1521533346.953166
NA,NA,NA,-0.052797,-0.013090,0.999969,1521533346.958174
NA,NA,NA,-0.054012,-0.014527,1.006965,1521533346.963184
NA,NA,NA,-0.057457,-0.013277,1.002199,1521533346.968395
NA,NA,NA,-0.058223,-0.011004,1.007246,1521533346.973595
