x_voltage,y_voltage,z_voltage,x_gvalue,y_gvalue,z_gvalue,time
NA,NA,NA,-0.004684,-0.019043,1.003156,1521532505.340499
NA,NA,NA,-0.004422,-0.021383,1.006141,1521532505.345499
NA,NA,NA,-0.004078,-0.022168,1.010316,1521532505.350504
NA,NA,NA,-0.002695,-0.020230,1.010398,1521532505.355511
NA,NA,NA,-0.003777,-0.021980,1.010078,1521532505.360516
NA,NA,NA,-0.005789,-0.022074,1.003809,1521532505.365535
NA,NA,NA,-0.006258,-0.025492,1.003789,1521532505.370552
NA,NA,NA,-0.003031,-0.029895,1.008559,1521532505.375566
NA,NA,NA,-0.002777,-0.026734,1.010133,1521532505.380568
NA,NA,NA,-0.002637,-0.027461,1.009742,1521532505.385582
NA,NA,NA,-0.006109,-0.029891,1.004086,1521532505.390587
NA,NA,NA,-0.007367,-0.030137,1.001805,1521532505.395597
NA,NA,NA,-0.003957,-0.034949,1.006672,1521532505.400597
NA,NA,NA,-0.002859,-0.033902,1.012957,1521532505.405609
NA,NA,NA,-0.002855,-0.034199,1.007516,1521532505.410618
NA,NA,NA,-0.004781,-0.031590,1.004824,1521532505.415630
NA,NA,NA,-0.004867,-0.039137,1.001711,1521532505.420635
NA,NA,NA,-0.004199,-0.039750,1.007273,1521532505.425636
NA,NA,NA,-0.003660,-0.038871,1.012438,1521532505.430653
NA,NA,NA,-0.003801,-0.040352,1.009195,1521532505.435672
NA,NA,NA,-0.006309,-0.035453,1.006395,1521532505.440690
NA,NA,NA,-0.006148,-0.044109,1.002168,1521532505.445706
NA,NA,NA,-0.005055,-0.042609,1.005242,1521532505.450706
NA,NA,NA,-0.001824,-0.046207,1.007730,1521532505.455711
NA,NA,NA,-0.002660,-0.044434,1.008719,1521532505.460718
NA,NA,NA,-0.004656,-0.044582,1.008590,1521532505.465722
NA,NA,NA,-0.005309,-0.043094,1.003078,1521532505.470730
NA,NA,NA,-0.004305,-0.047734,1.004020,1521532505.475738
NA,NA,NA,-0.004051,-0.050195,1.006324,1521532505.480751
NA,NA,NA,-0.000625,-0.050633,1.010297,1521532505.485763
NA,NA,NA,-0.006070,-0.047063,1.007832,1521532505.490768
NA,NA,NA,-0.005938,-0.048434,1.007227,1521532505.495781
NA,NA,NA,-0.004773,-0.050652,1.004949,1521532505.500788
NA,NA,NA,-0.004629,-0.054461,1.004984,1521532505.505797
NA,NA,NA,-0.004582,-0.050793,1.011043,1521532505.510816
NA,NA,NA,-0.001563,-0.055152,1.010066,1521532505.515831
NA,NA,NA,-0.005902,-0.047539,1.003723,1521532505.520838
NA,NA,NA,-0.002625,-0.057176,1.003137,1521532505.526035
NA,NA,NA,-0.004148,-0.052867,1.007270,1521532505.531052
NA,NA,NA,-0.004621,-0.058656,1.005301,1521532505.536065
NA,NA,NA,-0.002660,-0.053477,1.010207,1521532505.541069
NA,NA,NA,-0.004895,-0.058016,1.001648,1521532505.546085
NA,NA,NA,-0.003715,-0.059754,1.007578,1521532505.551090
NA,NA,NA,-0.007199,-0.057023,1.000098,1521532505.556096
NA,NA,NA,-0.005938,-0.058738,1.007562,1521532505.561100
NA,NA,NA,-0.004301,-0.056707,1.007566,1521532505.566113
NA,NA,NA,-0.003219,-0.055410,1.011488,1521532505.571127
NA,NA,NA,-0.006645,-0.054816,1.003313,1521532505.576127
NA,NA,NA,-0.005039,-0.059367,1.003184,1521532505.581145
NA,NA,NA,-0.007313,-0.057469,1.005867,1521532505.586153
NA,NA,NA,-0.001879,-0.061652,1.009234,1521532505.591155
NA,NA,NA,-0.004215,-0.055945,1.009066,1521532505.596157
NA,NA,NA,-0.004051,-0.056039,1.004695,1521532505.601170
NA,NA,NA,-0.005551,-0.054656,1.001621,1521532505.606187
NA,NA,NA,-0.002895,-0.062312,1.008633,1521532505.611192
NA,NA,NA,-0.006289,-0.056828,1.005437,1521532505.616206
