x_voltage,y_voltage,z_voltage,x_gvalue,y_gvalue,z_gvalue,time
NA,NA,NA,-0.999902,-0.083535,-0.040004,1521534390.905166
NA,NA,NA,-1.000016,-0.084492,-0.037961,1521534390.910182
NA,NA,NA,-1.000527,-0.083723,-0.040852,1521534390.915196
NA,NA,NA,-1.000992,-0.082980,-0.042363,1521534390.920204
NA,NA,NA,-1.000668,-0.084031,-0.042672,1521534390.925216
NA,NA,NA,-0.999766,-0.083273,-0.045980,1521534390.930217
NA,NA,NA,-0.999023,-0.085078,-0.045035,1521534390.935225
NA,NA,NA,-0.999164,-0.084395,-0.047129,1521534390.940242
NA,NA,NA,-0.999793,-0.083695,-0.050605,1521534390.945253
NA,NA,NA,-1.000797,-0.084246,-0.050988,1521534390.950259
NA,NA,NA,-0.999328,-0.084566,-0.051328,1521534390.955274
NA,NA,NA,-0.999387,-0.085172,-0.052074,1521534390.960288
NA,NA,NA,-0.999805,-0.085117,-0.053273,1521534390.965300
NA,NA,NA,-0.999668,-0.083578,-0.052602,1521534390.970314
NA,NA,NA,-0.999867,-0.083477,-0.057293,1521534390.975329
NA,NA,NA,-1.000504,-0.083293,-0.056277,1521534390.980331
NA,NA,NA,-0.999641,-0.083953,-0.058949,1521534390.985338
NA,NA,NA,-1.000996,-0.085191,-0.061102,1521534390.990338
NA,NA,NA,-0.998469,-0.085465,-0.055766,1521534390.995343
NA,NA,NA,-1.000758,-0.083375,-0.061746,1521534391.000349
NA,NA,NA,-0.998480,-0.083457,-0.062875,1521534391.005362
NA,NA,NA,-0.999656,-0.086727,-0.063926,1521534391.010366
NA,NA,NA,-0.998449,-0.084418,-0.062070,1521534391.015366
NA,NA,NA,-0.999887,-0.084965,-0.066801,1521534391.020377
NA,NA,NA,-1.000020,-0.082707,-0.068047,1521534391.025391
NA,NA,NA,-0.998875,-0.084012,-0.067449,1521534391.030405
NA,NA,NA,-0.998926,-0.085621,-0.069645,1521534391.035411
NA,NA,NA,-0.997988,-0.084262,-0.067129,1521534391.040416
NA,NA,NA,-0.998812,-0.083152,-0.069750,1521534391.045431
NA,NA,NA,-1.000445,-0.083406,-0.073770,1521534391.050446
NA,NA,NA,-0.998840,-0.083695,-0.072590,1521534391.055453
NA,NA,NA,-0.999387,-0.085504,-0.073203,1521534391.060461
NA,NA,NA,-0.998906,-0.084059,-0.073117,1521534391.065587
NA,NA,NA,-1.000297,-0.084965,-0.076191,1521534391.070592
NA,NA,NA,-0.999480,-0.084383,-0.078125,1521534391.075597
NA,NA,NA,-0.998109,-0.083180,-0.075445,1521534391.080614
NA,NA,NA,-0.998926,-0.083566,-0.077477,1521534391.085624
NA,NA,NA,-0.998332,-0.086215,-0.080867,1521534391.090630
NA,NA,NA,-0.999184,-0.084332,-0.077414,1521534391.095644
NA,NA,NA,-0.998059,-0.086262,-0.079422,1521534391.100650
NA,NA,NA,-0.998453,-0.084094,-0.080309,1521534391.105658
NA,NA,NA,-0.999617,-0.084437,-0.081410,1521534391.110660
NA,NA,NA,-1.000117,-0.083723,-0.082668,1521534391.115672
NA,NA,NA,-0.998133,-0.083605,-0.079945,1521534391.120676
NA,NA,NA,-0.999219,-0.083133,-0.084582,1521534391.125684
NA,NA,NA,-0.999949,-0.084973,-0.080223,1521534391.130691
NA,NA,NA,-0.997664,-0.086426,-0.081141,1521534391.135692
NA,NA,NA,-0.999656,-0.084391,-0.086484,1521534391.140706
NA,NA,NA,-0.999063,-0.084461,-0.084570,1521534391.145715
NA,NA,NA,-0.997980,-0.086129,-0.084941,1521534391.150722
NA,NA,NA,-0.999445,-0.085820,-0.085582,1521534391.155736
NA,NA,NA,-0.998547,-0.083879,-0.083801,1521534391.160743
NA,NA,NA,-0.999051,-0.085461,-0.087156,1521534391.165751
NA,NA,NA,-0.999078,-0.083824,-0.085832,1521534391.170757
NA,NA,NA,-0.997898,-0.083664,-0.085820,1521534391.175767
NA,NA,NA,-0.999359,-0.082910,-0.086008,1521534391.180770
NA,NA,NA,-1.000582,-0.083527,-0.087234,1521534391.185780
NA,NA,NA,-0.999105,-0.084699,-0.085863,1521534391.190797
NA,NA,NA,-0.998590,-0.084852,-0.086355,1521534391.195808
NA,NA,NA,-1.000758,-0.084305,-0.085570,1521534391.200824
NA,NA,NA,-0.998781,-0.083574,-0.085574,1521534391.205828
NA,NA,NA,-0.998902,-0.083680,-0.085527,1521534391.210829
NA,NA,NA,-0.999117,-0.085172,-0.086199,1521534391.215833
NA,NA,NA,-0.999430,-0.084301,-0.087410,1521534391.220848
NA,NA,NA,-0.998805,-0.086715,-0.085965,1521534391.225862
NA,NA,NA,-0.998496,-0.085984,-0.085312,1521534391.231035
NA,NA,NA,-0.999621,-0.083230,-0.085723,1521534391.236047
NA,NA,NA,-0.998395,-0.084117,-0.084676,1521534391.241060
NA,NA,NA,-1.000281,-0.084242,-0.087105,1521534391.246064
NA,NA,NA,-0.997984,-0.083078,-0.083207,1521534391.251074
NA,NA,NA,-1.001062,-0.083770,-0.086023,1521534391.256080
NA,NA,NA,-0.998051,-0.084477,-0.083395,1521534391.261088
NA,NA,NA,-0.998230,-0.086020,-0.084328,1521534391.266097
NA,NA,NA,-0.998832,-0.084043,-0.083352,1521534391.271100
NA,NA,NA,-0.999293,-0.085129,-0.080996,1521534391.276114
NA,NA,NA,-0.997930,-0.085691,-0.080246,1521534391.281128
NA,NA,NA,-1.000816,-0.082574,-0.082410,1521534391.286143
NA,NA,NA,-0.998410,-0.084773,-0.079270,1521534391.291154
NA,NA,NA,-0.998086,-0.084984,-0.079813,1521534391.296157
NA,NA,NA,-1.000270,-0.084578,-0.082187,1521534391.301169
NA,NA,NA,-0.998871,-0.084367,-0.078379,1521534391.306182
NA,NA,NA,-0.997516,-0.085883,-0.079078,1521534391.311196
NA,NA,NA,-0.999105,-0.085234,-0.076547,1521534391.316199
NA,NA,NA,-1.000555,-0.083020,-0.076438,1521534391.321215
NA,NA,NA,-0.999820,-0.084016,-0.076902,1521534391.326216
NA,NA,NA,-0.998230,-0.085402,-0.073234,1521534391.331229
NA,NA,NA,-0.998949,-0.084387,-0.073859,1521534391.336230
NA,NA,NA,-0.999625,-0.084793,-0.074855,1521534391.341238
NA,NA,NA,-0.998980,-0.085207,-0.072344,1521534391.346242
NA,NA,NA,-0.999867,-0.085066,-0.071758,1521534391.351259
NA,NA,NA,-1.000441,-0.084105,-0.072156,1521534391.356262
NA,NA,NA,-0.997625,-0.086285,-0.069902,1521534391.361269
NA,NA,NA,-0.999203,-0.084047,-0.067617,1521534391.366271
NA,NA,NA,-1.000117,-0.084930,-0.069379,1521534391.371287
NA,NA,NA,-0.999957,-0.086113,-0.066977,1521534391.376292
NA,NA,NA,-0.997465,-0.084406,-0.063766,1521534391.381304
NA,NA,NA,-1.001012,-0.084121,-0.063957,1521534391.386311
NA,NA,NA,-0.999684,-0.084598,-0.063473,1521534391.391321
NA,NA,NA,-0.999359,-0.084738,-0.065020,1521534391.396332
NA,NA,NA,-0.999676,-0.083441,-0.058938,1521534391.401337
NA,NA,NA,-1.000535,-0.084770,-0.061645,1521534391.406342
NA,NA,NA,-0.997797,-0.084773,-0.058137,1521534391.411348
NA,NA,NA,-0.998328,-0.085750,-0.056844,1521534391.416354
NA,NA,NA,-1.001520,-0.082402,-0.057246,1521534391.421362
NA,NA,NA,-0.999199,-0.085020,-0.053344,1521534391.426362
NA,NA,NA,-1.000598,-0.083922,-0.055270,1521534391.431370
NA,NA,NA,-0.998820,-0.085422,-0.053461,1521534391.436384
NA,NA,NA,-1.001031,-0.084309,-0.053094,1521534391.441389
NA,NA,NA,-1.001199,-0.084195,-0.050035,1521534391.446403
NA,NA,NA,-1.000594,-0.081367,-0.050641,1521534391.451404
NA,NA,NA,-1.000750,-0.084242,-0.049621,1521534391.456412
NA,NA,NA,-0.999305,-0.085340,-0.046352,1521534391.461413
NA,NA,NA,-1.000535,-0.085266,-0.045879,1521534391.466421
NA,NA,NA,-1.000168,-0.083086,-0.043215,1521534391.471434
NA,NA,NA,-1.000469,-0.083023,-0.043355,1521534391.476436
NA,NA,NA,-1.000891,-0.082875,-0.041887,1521534391.481525
NA,NA,NA,-1.000172,-0.084211,-0.039543,1521534391.486536
NA,NA,NA,-1.000969,-0.083031,-0.040590,1521534391.491550
NA,NA,NA,-1.000750,-0.082699,-0.038410,1521534391.496561
NA,NA,NA,-1.000613,-0.082520,-0.039590,1521534391.501566
NA,NA,NA,-1.000152,-0.083437,-0.035852,1521534391.506569
NA,NA,NA,-1.000414,-0.082152,-0.033824,1521534391.511575
NA,NA,NA,-0.998684,-0.084809,-0.033066,1521534391.516585
NA,NA,NA,-1.000465,-0.083437,-0.031488,1521534391.521601
NA,NA,NA,-1.001414,-0.082941,-0.029117,1521534391.526607
NA,NA,NA,-1.000680,-0.082102,-0.031324,1521534391.531616
NA,NA,NA,-1.001352,-0.083562,-0.028402,1521534391.536617
NA,NA,NA,-0.999754,-0.083219,-0.027305,1521534391.541631
NA,NA,NA,-1.000809,-0.084020,-0.025848,1521534391.546633
NA,NA,NA,-0.999051,-0.083473,-0.024008,1521534391.551634
NA,NA,NA,-1.000754,-0.082961,-0.025430,1521534391.556635
NA,NA,NA,-1.002516,-0.083594,-0.023602,1521534391.561679
NA,NA,NA,-0.999746,-0.085332,-0.020066,1521534391.566690
NA,NA,NA,-1.000090,-0.082309,-0.018387,1521534391.571690
NA,NA,NA,-1.002398,-0.081219,-0.018402,1521534391.576700
NA,NA,NA,-1.001762,-0.082211,-0.019531,1521534391.581701
NA,NA,NA,-1.000367,-0.083930,-0.014586,1521534391.586709
NA,NA,NA,-1.000969,-0.084109,-0.015000,1521534391.591716
NA,NA,NA,-1.001203,-0.081664,-0.013016,1521534391.596718
NA,NA,NA,-0.999578,-0.085160,-0.009977,1521534391.601734
NA,NA,NA,-1.001523,-0.082785,-0.013168,1521534391.606742
NA,NA,NA,-1.000836,-0.083523,-0.008707,1521534391.611758
NA,NA,NA,-1.001340,-0.082660,-0.008141,1521534391.616771
NA,NA,NA,-1.000488,-0.083059,-0.006188,1521534391.621775
NA,NA,NA,-1.002047,-0.080824,-0.005844,1521534391.626776
NA,NA,NA,-1.003512,-0.082332,-0.006934,1521534391.631783
NA,NA,NA,-1.000820,-0.082109,-0.005406,1521534391.636799
NA,NA,NA,-1.002813,-0.081855,-0.005012,1521534391.641814
NA,NA,NA,-1.002680,-0.082184,-0.001605,1521534391.646820
NA,NA,NA,-1.001383,-0.083422,-0.003227,1521534391.651831
NA,NA,NA,-1.002488,-0.081445,-0.000215,1521534391.656971
NA,NA,NA,-1.000777,-0.081516,-0.000141,1521534391.661973
NA,NA,NA,-1.001664,-0.082961,-0.000078,1521534391.666981
NA,NA,NA,-1.001797,-0.082199,0.004078,1521534391.672306
NA,NA,NA,-1.001906,-0.082207,0.001047,1521534391.677313
NA,NA,NA,-1.001574,-0.081312,0.004980,1521534391.682318
NA,NA,NA,-1.001898,-0.082863,0.002578,1521534391.687330
