x_voltage,y_voltage,z_voltage,x_gvalue,y_gvalue,z_gvalue,time
NA,NA,NA,-0.001969,0.111836,1.008883,1521531841.323756
NA,NA,NA,-0.003441,0.121086,1.009230,1521531841.328771
NA,NA,NA,0.000520,0.120930,1.014160,1521531841.333786
NA,NA,NA,-0.003145,0.132840,1.010609,1521531841.338789
NA,NA,NA,-0.002375,0.132996,1.006301,1521531841.343803
NA,NA,NA,-0.003535,0.133641,1.006621,1521531841.348807
NA,NA,NA,-0.000879,0.133262,1.009348,1521531841.353816
NA,NA,NA,0.000090,0.135813,1.012508,1521531841.358820
NA,NA,NA,-0.001844,0.143211,1.013520,1521531841.363824
NA,NA,NA,-0.003352,0.141270,1.004090,1521531841.368843
NA,NA,NA,0.000902,0.139559,1.008738,1521531841.373857
NA,NA,NA,-0.002641,0.138262,1.006051,1521531841.378868
NA,NA,NA,0.000293,0.139301,1.011211,1521531841.383875
NA,NA,NA,-0.002844,0.139246,1.011289,1521531841.388884
NA,NA,NA,-0.000148,0.136789,1.008566,1521531841.393891
NA,NA,NA,-0.004391,0.135484,1.006641,1521531841.398896
NA,NA,NA,-0.002355,0.128742,1.005645,1521531841.403905
NA,NA,NA,-0.000551,0.125887,1.009383,1521531841.408918
NA,NA,NA,0.000383,0.118723,1.011273,1521531841.413933
NA,NA,NA,-0.001891,0.123508,1.011559,1521531841.418941
NA,NA,NA,-0.002402,0.109688,1.006195,1521531841.423953
NA,NA,NA,-0.003352,0.108602,1.005242,1521531841.428961
NA,NA,NA,-0.001066,0.094035,1.007262,1521531841.433972
NA,NA,NA,-0.001398,0.092191,1.013129,1521531841.438977
NA,NA,NA,-0.002934,0.087996,1.009437,1521531841.443977
NA,NA,NA,-0.002430,0.078969,1.009086,1521531841.448993
NA,NA,NA,-0.004453,0.069934,1.002734,1521531841.454001
NA,NA,NA,-0.003879,0.056926,1.008871,1521531841.459016
NA,NA,NA,0.001109,0.054133,1.011602,1521531841.464020
NA,NA,NA,-0.003172,0.044387,1.010344,1521531841.469028
NA,NA,NA,-0.003551,0.041891,1.011508,1521531841.474034
NA,NA,NA,-0.006621,0.027148,0.999992,1521531841.479041
NA,NA,NA,-0.002492,0.017309,1.007262,1521531841.484053
NA,NA,NA,-0.006590,0.007254,1.006418,1521531841.489062
NA,NA,NA,-0.000535,0.000215,1.013043,1521531841.494064
NA,NA,NA,-0.004285,-0.005461,1.008242,1521531841.499079
NA,NA,NA,-0.003258,-0.019301,1.005125,1521531841.504083
NA,NA,NA,-0.005809,-0.028473,1.001543,1521531841.509085
NA,NA,NA,-0.000559,-0.037266,1.006305,1521531841.514092
NA,NA,NA,-0.005375,-0.044883,1.009305,1521531841.519092
NA,NA,NA,-0.001750,-0.056344,1.014449,1521531841.524099
NA,NA,NA,-0.004984,-0.058707,1.005621,1521531841.529111
NA,NA,NA,-0.006332,-0.072895,1.000145,1521531841.534119
NA,NA,NA,-0.006520,-0.078203,1.003750,1521531841.539121
NA,NA,NA,-0.005430,-0.090039,1.009051,1521531841.544126
NA,NA,NA,-0.001828,-0.095422,1.011625,1521531841.549134
NA,NA,NA,-0.006012,-0.102871,1.001340,1521531841.554138
NA,NA,NA,-0.006801,-0.107230,1.001332,1521531841.559144
NA,NA,NA,-0.005953,-0.119074,1.001906,1521531841.564150
NA,NA,NA,-0.004648,-0.121504,1.009488,1521531841.569151
NA,NA,NA,-0.004820,-0.127004,1.010402,1521531841.574165
NA,NA,NA,-0.004969,-0.129035,1.005590,1521531841.579181
NA,NA,NA,-0.006234,-0.138602,1.003254,1521531841.584188
NA,NA,NA,-0.010086,-0.142813,1.001059,1521531841.589195
NA,NA,NA,-0.004094,-0.145934,1.007613,1521531841.594200
NA,NA,NA,-0.006367,-0.148594,1.010238,1521531841.599213
NA,NA,NA,-0.007047,-0.147273,1.004867,1521531841.604217
NA,NA,NA,-0.007773,-0.150586,1.002121,1521531841.609229
NA,NA,NA,-0.007094,-0.152152,1.001848,1521531841.614238
NA,NA,NA,-0.006742,-0.159633,1.003781,1521531841.619243
NA,NA,NA,-0.004375,-0.153855,1.009113,1521531841.624251
NA,NA,NA,-0.005375,-0.154801,1.010000,1521531841.629264
NA,NA,NA,-0.005176,-0.153008,1.006391,1521531841.634272
NA,NA,NA,-0.009785,-0.148766,1.001895,1521531841.639286
NA,NA,NA,-0.005879,-0.151797,1.001379,1521531841.644306
NA,NA,NA,-0.005723,-0.144711,1.007852,1521531841.649318
NA,NA,NA,-0.004613,-0.145098,1.008563,1521531841.654323
NA,NA,NA,-0.007633,-0.136629,1.008473,1521531841.659336
NA,NA,NA,-0.006820,-0.133750,1.004625,1521531841.664339
NA,NA,NA,-0.004875,-0.131387,1.004719,1521531841.669350
NA,NA,NA,-0.006816,-0.125902,1.005617,1521531841.674358
NA,NA,NA,-0.005094,-0.120617,1.009461,1521531841.679372
NA,NA,NA,-0.002336,-0.112824,1.009156,1521531841.684381
