x_voltage,y_voltage,z_voltage,x_gvalue,y_gvalue,z_gvalue,time
NA,NA,NA,-0.562527,-0.027980,0.979727,1521533779.803076
NA,NA,NA,-0.570668,-0.024930,0.981723,1521533779.808082
NA,NA,NA,-0.566078,-0.025551,0.976066,1521533779.813096
NA,NA,NA,-0.541891,-0.026379,0.983719,1521533779.818111
NA,NA,NA,-0.512488,-0.024066,0.987582,1521533779.823113
NA,NA,NA,-0.474852,-0.020344,0.985398,1521533779.828116
NA,NA,NA,-0.418457,-0.021238,0.980656,1521533779.833123
NA,NA,NA,-0.354035,-0.022312,0.994004,1521533779.838123
NA,NA,NA,-0.286895,-0.019977,0.998652,1521533779.843132
NA,NA,NA,-0.213512,-0.010293,1.000258,1521533779.848137
NA,NA,NA,-0.130621,-0.015176,1.005547,1521533779.853143
NA,NA,NA,-0.053566,-0.012109,1.005164,1521533779.858150
NA,NA,NA,0.030664,-0.012996,1.010383,1521533779.863163
NA,NA,NA,0.108289,-0.008938,1.010016,1521533779.868171
NA,NA,NA,0.191559,-0.009875,1.028988,1521533779.873184
NA,NA,NA,0.257332,-0.004160,1.022258,1521533779.878198
NA,NA,NA,0.315746,0.000285,1.026109,1521533779.883204
NA,NA,NA,0.368945,-0.001824,1.022215,1521533779.888215
NA,NA,NA,0.412371,-0.001426,1.025094,1521533779.893216
NA,NA,NA,0.443164,-0.003684,1.028824,1521533779.898225
NA,NA,NA,0.464168,0.002566,1.040020,1521533779.903241
NA,NA,NA,0.467934,0.002172,1.030012,1521533779.908246
NA,NA,NA,0.458762,0.004777,1.023680,1521533779.913261
NA,NA,NA,0.442355,-0.005086,1.030973,1521533779.918272
NA,NA,NA,0.409535,-0.003066,1.026508,1521533779.923275
NA,NA,NA,0.369012,-0.003035,1.029043,1521533779.928284
NA,NA,NA,0.312703,-0.002246,1.018762,1521533779.933287
NA,NA,NA,0.255324,-0.001937,1.021914,1521533779.938299
NA,NA,NA,0.176316,-0.010820,1.015215,1521533779.943305
NA,NA,NA,0.097359,-0.007379,1.007496,1521533779.948312
NA,NA,NA,0.031121,-0.012367,1.016520,1521533779.953325
NA,NA,NA,-0.055125,-0.015199,1.003293,1521533779.958335
NA,NA,NA,-0.141383,-0.009641,0.998129,1521533779.963419
NA,NA,NA,-0.217199,-0.020262,0.997902,1521533779.968422
NA,NA,NA,-0.295148,-0.022668,0.988078,1521533779.973427
NA,NA,NA,-0.359863,-0.021336,0.989617,1521533779.978441
NA,NA,NA,-0.419539,-0.026430,0.989453,1521533779.983453
NA,NA,NA,-0.478082,-0.021543,0.980969,1521533779.988458
NA,NA,NA,-0.520215,-0.022652,0.980695,1521533779.993461
NA,NA,NA,-0.547395,-0.026867,0.977039,1521533779.998470
