x_voltage,y_voltage,z_voltage,x_gvalue,y_gvalue,z_gvalue,time
NA,NA,NA,-0.977676,-0.152078,-0.505898,1521534808.497925
NA,NA,NA,-0.976488,-0.152539,-0.534441,1521534808.502940
NA,NA,NA,-0.976531,-0.150879,-0.552637,1521534808.507948
NA,NA,NA,-0.974879,-0.152109,-0.554949,1521534808.512953
NA,NA,NA,-0.974254,-0.154309,-0.549211,1521534808.517957
NA,NA,NA,-0.976430,-0.151250,-0.525891,1521534808.522963
NA,NA,NA,-0.978516,-0.149125,-0.495117,1521534808.527975
NA,NA,NA,-0.978930,-0.149246,-0.450910,1521534808.532987
NA,NA,NA,-0.981328,-0.147383,-0.398934,1521534808.537994
NA,NA,NA,-0.982652,-0.145441,-0.331621,1521534808.543000
NA,NA,NA,-0.984070,-0.146707,-0.262129,1521534808.548006
NA,NA,NA,-0.988391,-0.144027,-0.184141,1521534808.553011
NA,NA,NA,-0.990973,-0.142906,-0.106547,1521534808.558024
NA,NA,NA,-0.993793,-0.140973,-0.025539,1521534808.563032
NA,NA,NA,-0.995637,-0.139355,0.058199,1521534808.568045
NA,NA,NA,-0.999375,-0.136516,0.140738,1521534808.573045
NA,NA,NA,-1.001863,-0.133770,0.215941,1521534808.578052
NA,NA,NA,-1.004457,-0.132645,0.283848,1521534808.583062
NA,NA,NA,-1.007922,-0.130629,0.345402,1521534808.588073
NA,NA,NA,-1.009090,-0.131203,0.396863,1521534808.593088
NA,NA,NA,-1.009465,-0.130984,0.437820,1521534808.598096
NA,NA,NA,-1.011629,-0.129969,0.466707,1521534808.603107
NA,NA,NA,-1.012387,-0.129199,0.484016,1521534808.608118
NA,NA,NA,-1.012867,-0.129188,0.489172,1521534808.613124
NA,NA,NA,-1.011777,-0.129684,0.480289,1521534808.618125
NA,NA,NA,-1.012301,-0.127672,0.457789,1521534808.623135
NA,NA,NA,-1.011527,-0.128531,0.426027,1521534808.628140
NA,NA,NA,-1.008008,-0.132781,0.380797,1521534808.633143
NA,NA,NA,-1.008320,-0.132879,0.325902,1521534808.638145
NA,NA,NA,-1.004598,-0.131508,0.264578,1521534808.643152
NA,NA,NA,-1.003441,-0.136020,0.190984,1521534808.648153
NA,NA,NA,-0.998156,-0.136664,0.113355,1521534808.653169
NA,NA,NA,-0.997430,-0.137539,0.034469,1521534808.658169
NA,NA,NA,-0.994004,-0.140574,-0.050641,1521534808.663179
NA,NA,NA,-0.991598,-0.142320,-0.130102,1521534808.668186
NA,NA,NA,-0.987754,-0.144023,-0.212273,1521534808.673195
NA,NA,NA,-0.987277,-0.144492,-0.286512,1521534808.678202
NA,NA,NA,-0.983688,-0.148449,-0.351891,1521534808.683212
NA,NA,NA,-0.980215,-0.150527,-0.416195,1521534808.688219
NA,NA,NA,-0.979453,-0.148484,-0.464332,1521534808.693234
NA,NA,NA,-0.977984,-0.150328,-0.508828,1521534808.698250
NA,NA,NA,-0.976176,-0.151141,-0.535762,1521534808.703259
NA,NA,NA,-0.974988,-0.152754,-0.552129,1521534808.708275
NA,NA,NA,-0.975367,-0.151570,-0.555188,1521534808.713290
NA,NA,NA,-0.974715,-0.153129,-0.547020,1521534808.718292
NA,NA,NA,-0.976711,-0.149359,-0.527512,1521534808.723304
NA,NA,NA,-0.977586,-0.149938,-0.494047,1521534808.728314
NA,NA,NA,-0.977598,-0.151109,-0.447734,1521534808.733328
NA,NA,NA,-0.980344,-0.147996,-0.393516,1521534808.738333
NA,NA,NA,-0.982574,-0.145352,-0.327195,1521534808.743337
NA,NA,NA,-0.985426,-0.146797,-0.258070,1521534808.748350
NA,NA,NA,-0.986980,-0.145594,-0.176199,1521534808.753356
NA,NA,NA,-0.990273,-0.142980,-0.098879,1521534808.758368
